TestCaseID,Title,Param,Execute,Num Attempts
1.1.1,Original status after first power ON,,0,
1.2.1,Open Security Wi-Fi network,,0,
1.2.2.1,Secured  Wi-Fi network WEB 64 ,012345abcd,1,
1.2.2.2,Secured  Wi-Fi network WEB 128,0123456789abcdef0123456789,1,
1.2.3.1,Secured  Wi-Fi network WPA-PSK ,ababababab,1,
1.2.3.2,Secured  Wi-Fi network WPA-PSK ,1234567890,0,
1.2.3.3,Secured  Wi-Fi network WPA-PSK ,ababa12345,0,
1.2.3.4,Secured  Wi-Fi network WPA-PSK ,,0,
1.2.3.5,Secured  Wi-Fi network WPA-PSK ,,0,
1.2.3.6,Secured  Wi-Fi network WPA-PSK ,,0,
1.2.3.7,Secured  Wi-Fi network WPA-PSK ,,0,
1.2.4.1,Secured  Wi-Fi network WPA2-PSK ,ababababab,0,
1.2.4.2,Secured  Wi-Fi network WPA2-PSK ,1234567890,0,
1.2.4.3,Secured  Wi-Fi network WPA2-PSK ,ababa12345,0,
1.2.4.4,Secured  Wi-Fi network WPA2-PSK ,,0,
1.2.4.5,Secured  Wi-Fi network WPA2-PSK ,,0,
1.2.4.6,Secured  Wi-Fi network WPA2-PSK ,,0,
1.2.4.7,Secured  Wi-Fi network WPA2-PSK ,,0,
1.3.1,Functional  Test Rove Out,,0,
1.3.2,Functional  Test Rove In,,0,
1.3.3,802.11 a-only Support,,0,
1.3.4,802.11 b-only Support,,0,
1.3.5,802.11 g-only Support,,0,
1.3.6,802.11 n-only Support,,0,
1.3.7,802.11 Auto mode Support,,0,
1.3.8,Network SSID set to NOT Broadcast,,0,
1.4.1.1,Wi-Fi Throughput Test (using iPerf) a- Only,,0,5
1.4.1.2,Wi-Fi Throughput Test (using iPerf) b- Only,,1,2
1.4.1.3,Wi-Fi Throughput Test (using iPerf) g- Only,,1,5
1.4.1.4,Wi-Fi Throughput Test (using iPerf) n- Only,,1,5
1.4.1.5,Wi-Fi Throughput Test (using iPerf) bg-mixed,,1,5
1.4.1.6,Wi-Fi Throughput Test (using iPerf) mixed,,1,5
1.4.2,Soft-AP Open Wi-Fi Network,,0,
1.4.3.1,Soft-AP (Wi-Fi HotSpot) Wi-Fi Network secured with WEP 64,012345abcd,1,
1.4.3.2,Soft-AP  (Wi-Fi HotSpot)  Wi-Fi Network secured with WEP 128,0123456789abcdef0123456789,0,
1.4.4,Soft-AP  (Wi-Fi HotSpot)  Wi-Fi Network secured with WPA-PSK,,0,
1.4.4,Soft-AP  (Wi-Fi HotSpot)  Wi-Fi Network secured with WPA2-PSK,,0,
1.5.1,Wi-Fi Direct Pull Scenario DMS,,0,
1.5.1,Wi-Fi Direct Push  Scenario DMS,,0,
