TestCaseID,Title,Param,param2,Execute,Num Attempts,Num Phone
3.01,IMS to IMS call (10 digit),2063499032,,1,1,1
3.02,IMS to IMS call (11 digit),12063499032,,1,1,1
3.03,IMS to IMS call ( 7 digit),3499032,,1,1,1
3.04,IMS to GSM call (10 digit),2063499032,,1,1,1
3.05,IMS to GSM call (11 digit),12063499032,,1,1,1
3.06,IMS to GSM call ( 7 digit),3499032,,1,1,1
3.07,GSM to IMS call,2062720301,,1,1,1
3.08,IMS to trunk/short code,*7808,,1,1,1
3.09,IMS to trunk/short code + conference bridge,*7808|||5398200#,60,1,1,1
3.10,IMS to local number (411),411,,1,1,1
3.11,MO Call rejected,2063499032,,1,1,1
3.12,MT Call rejected,2062720301,,1,1,1
3.15, MT call - Application running on screen,2063499032,,1,1,1
3.16,Long MO calls,12063499032,5,1,1,1
3.17,Long MT calls,2062720301,5,1,1,1
3.19.1,MO call on hold - 10 secs,12063499032,10,1,1,1
3.20.1,MO call on hold - 2 minutes ,12063499032,120,1,1,1
3.21.1,MT call on hold - 10 secs,2062720301,10,1,1,1
3.22.1,MT call on hold - 2 minutes,2062720301,120,1,1,1
3.19.2,MO call on hold - 10 secs,12063499032,10,1,1,1
3.20.2,MO call on hold - 2 minutes,12063499032,120,1,1,1
3.21.2,MT call on hold - 10 secs,2062720301,10,1,1,1
3.22.2,MT call on hold - 2 minutes,2062720301,120,1,1,1
3.23,Ignore second call,,,0,1,1
3.24,Call Swap and termination,,,0,1,1
3.25,Call Swap and termination 2,,,0,1,1
3.26.1,Call conferencing 1,,,1,1,1
3.26.2,Call conferencing 1,,,0,1,1
3.26.3,Call conferencing 1,,,0,1,1
3.27.1,Call conferencing 2,,,1,1,1
3.27.2,Call conferencing 2,,,0,1,1
3.27.3,Call conferencing 2,,,0,1,1
3.28.1,Call conferencing 3,,,1,1,1
3.28.2,Call conferencing 3,,,0,1,1
3.28.3,Call conferencing 3,,,0,1,1
3.29.1,Call conferencing 4,,,1,1,1
3.29.2,Call conferencing 4,,,0,1,1
3.29.3,Call conferencing 4,,,0,1,1
3.30,Voice mail,,,0,1,1
3.31,Voice mail retreival,,,0,1,1
3.32,611,611,120,1,1,1
3.33,DTMF,18884127808|||3484559#,60,1,1,1
3.34,DTMF speakerphone,18884127808|||3484559#,60,1,1,1
3.35,Large Conference Call,,,1,1,1
3.36,Maximum Conference Call,,,1,1,1
3.37,Call Swap and termination - IMS to IMS,,,1,1,1
3.38,Call Swap and termination 2 - IMS to IMS,,,1,1,1
3.39.1,Call conferencing 1,,,1,1,1
3.39.2,Call conferencing 1,,,0,1,1
3.39.3,Call conferencing 1,,,0,1,1
3.40.1,Call conferencing 2,,,1,1,1
3.40.2,Call conferencing 2,,,0,1,1
3.40.3,Call conferencing 2,,,0,1,1
3.41.1,Call conferencing 3,,,1,1,1
3.41.2,Call conferencing 3,,,0,1,1
3.41.3,Call conferencing 3,,,0,1,1
3.42.1,Call conferencing 4,,,1,1,1
3.42.2,Call conferencing 4,,,0,1,1
3.42.3,Call conferencing 4,,,0,1,1
